,namespace,user_id,id
8303,franciscoperes,edu.margarida.margarete.sme,541532
8304,moaciralves,edu.maria.das.sme,541650
8305,joaoferreira,edu.margarida.margarete.sme,541533
8306,antoniomelo,edu.maria.das.sme,541651
8307,moaciralves,edu.margarida.margarete.sme,541534
8308,valdemiracoelho,edu.maria.das.sme,541652
8309,antoniomelo,edu.margarida.margarete.sme,541535
8310,monsenhorfrancisco,edu.maria.das.sme,541653
8311,joaobelem,edu.maria.das.sme,541654
8312,valdemiracoelho,edu.margarida.margarete.sme,541536
8313,monsenhorfrancisco,edu.margarida.margarete.sme,541537
8314,monsenhorgoncalo,edu.maria.de.sme,541655
8315,joaobelem,edu.margarida.margarete.sme,541538
8316,acessofazendariogrande,marcia.gomes,499161
8317,monsenhorgoncalo,edu.maria.celene.sme,541539
8318,iracemarufino,edu.maria.de.sme,541656
8319,marialaura,edu.maria.de.sme,541657
8320,iracemarufino,edu.maria.celene.sme,541540
8321,goncalomartins,edu.maria.de.sme,541658
8322,marialaura,edu.maria.celene.sme,541541
8323,mariaeunice,edu.maria.de.sme,541659
8324,goncalomartins,edu.maria.celene.sme,541542
8325,antoniolima,edu.maria.de.sme,541660
8326,mariaeunice,edu.maria.celene.sme,541543
8327,senhorbonfim,edu.maria.de.sme,541661
8328,antoniolima,edu.maria.celene.sme,541544
8329,murilorocha,edu.maria.de.sme,541662
8330,senhorbonfim,edu.maria.celene.sme,541545
8331,murilorocha,edu.maria.celene.sme,541546
8332,eldapereira,edu.maria.de.sme,541663
8333,eldapereira,edu.maria.celene.sme,541547
8334,joaorosa,edu.maria.celene.sme,541548
8335,joaorosa,edu.maria.de.sme,541664
8336,luizgonzaga,edu.maria.celene.sme,541549
8337,luizgonzaga,edu.maria.de.sme,541665
8338,abiliomartins,edu.maria.celene.sme,541550
8339,abiliomartins,edu.maria.de.sme,541666
8340,conradochaves,edu.maria.celene.sme,541551
8341,conradochaves,edu.maria.de.sme,541667
8342,melquiadescamelo,edu.maria.celene.sme,541552
8343,melquiadescamelo,edu.maria.de.sme,541668
8344,guilhermefilho,edu.maria.celene.sme,541553
8345,guilhermefilho,edu.maria.de.sme,541669
8346,criancaesperanca,edu.maria.celene.sme,541554
8347,criancaesperanca,edu.maria.de.sme,541670
8348,pedrocamelo,edu.maria.celene.sme,541555
8349,pedrocamelo,edu.maria.de.sme,541671
8350,joaosampaio,edu.maria.celene.sme,541556
8351,joaosampaio,edu.maria.de.sme,541672
8352,mariaolinda,edu.maria.celene.sme,541557
8353,mariaolinda,edu.maria.de.sme,541673
8354,abdiasmartins,edu.maria.de.sme,541674
8355,abdiasmartins,edu.maria.celene.sme,541558
8356,antoniairene,edu.maria.de.sme,541675
8357,antoniairene,edu.maria.celene.sme,541559
8358,nsfatima,edu.maria.de.sme,541676
8359,nsfatima,edu.maria.celene.sme,541560
8360,franciscoperes,edu.maria.de.sme,541677
8361,joaoferreira,edu.maria.de.sme,541678
8362,moaciralves,edu.maria.de.sme,541679
8363,antoniomelo,edu.maria.de.sme,541680
8364,valdemiracoelho,edu.maria.de.sme,541681
8365,monsenhorfrancisco,edu.maria.de.sme,541682
8366,joaobelem,edu.maria.de.sme,541683
8367,monsenhorgoncalo,edu.maria.do.sme,541684
8368,iracemarufino,edu.maria.do.sme,541685
8369,colegiocognos,clarissaqmagico,156260
8370,marialaura,edu.maria.do.sme,541686
8371,goncalomartins,edu.maria.do.sme,541687
8372,mariaeunice,edu.maria.do.sme,541688
8373,franciscoperes,edu.maria.celene.sme,541561
8374,antoniolima,edu.maria.do.sme,541689
8375,joaoferreira,edu.maria.celene.sme,541562
8376,senhorbonfim,edu.maria.do.sme,541690
8377,murilorocha,edu.maria.do.sme,541691
8378,moaciralves,edu.maria.celene.sme,541563
8379,eldapereira,edu.maria.do.sme,541692
8380,antoniomelo,edu.maria.celene.sme,541564
8381,joaorosa,edu.maria.do.sme,541693
8382,valdemiracoelho,edu.maria.celene.sme,541565
8383,monsenhorfrancisco,edu.maria.celene.sme,541566
8384,joaobelem,edu.maria.celene.sme,541567
8385,luizgonzaga,edu.maria.do.sme,541694
8386,monsenhorgoncalo,edu.maria.celina.sme,541568
8387,abiliomartins,edu.maria.do.sme,541695
8388,iracemarufino,edu.maria.celina.sme,541569
8389,conradochaves,edu.maria.do.sme,541696
8390,marialaura,edu.maria.celina.sme,541570
8391,melquiadescamelo,edu.maria.do.sme,541697
8392,goncalomartins,edu.maria.celina.sme,541571
8393,guilhermefilho,edu.maria.do.sme,541698
8394,criancaesperanca,edu.maria.do.sme,541699
8395,mariaeunice,edu.maria.celina.sme,541572
8396,pedrocamelo,edu.maria.do.sme,541700
8397,herciliovilanova,eduadm.maria.do,564696
8398,joaosampaio,edu.maria.do.sme,541701
8399,mariaolinda,edu.maria.do.sme,541702
8400,antoniolima,edu.maria.celina.sme,541573
8401,abdiasmartins,edu.maria.do.sme,541703
8402,abdiasmartins,edu.maria.mororo.sme,541732
8403,antoniairene,edu.maria.do.sme,541704
8404,nsfatima,edu.maria.do.sme,541705
8405,franciscoperes,edu.maria.do.sme,541706
8406,joaoferreira,edu.maria.do.sme,541707
8407,moaciralves,edu.maria.do.sme,541708
8408,antoniomelo,edu.maria.do.sme,541709
8409,valdemiracoelho,edu.maria.do.sme,541710
8410,monsenhorfrancisco,edu.maria.do.sme,541711
8411,antoniairene,edu.maria.mororo.sme,541733
8412,joaobelem,edu.maria.do.sme,541712
8413,nsfatima,edu.maria.mororo.sme,541734
8414,monsenhorgoncalo,edu.maria.mororo.sme,541713
8415,franciscoperes,edu.maria.mororo.sme,541735
8416,iracemarufino,edu.maria.mororo.sme,541714
8417,joaoferreira,edu.maria.mororo.sme,541736
8418,marialaura,edu.maria.mororo.sme,541715
8419,moaciralves,edu.maria.mororo.sme,541737
8420,goncalomartins,edu.maria.mororo.sme,541716
8421,mariaeunice,edu.maria.mororo.sme,541717
8422,antoniolima,edu.maria.mororo.sme,541718
8423,senhorbonfim,edu.maria.mororo.sme,541719
8424,murilorocha,edu.maria.mororo.sme,541720
8425,eldapereira,edu.maria.mororo.sme,541721
8426,antoniomelo,edu.maria.mororo.sme,541738
8427,joaorosa,edu.maria.mororo.sme,541722
8428,luizgonzaga,edu.maria.mororo.sme,541723
8429,valdemiracoelho,edu.maria.mororo.sme,541739
8430,abiliomartins,edu.maria.mororo.sme,541724
