,namespace,grade,Porcentagem de visualização de relatórios de AA
456,colegiointegral,outro,0.8327205882352942
457,colegioitamarati,em 2a serie,0.0
458,colegioitamarati,outro,0.0
459,colegiojoaopaulo,ef 4o ano,0.26822157434402333
460,colegiojoaopaulo,ef 5o ano,0.3466666666666667
461,colegiojoaopaulo,ef 6o ano,0.3074074074074074
462,colegiojoaopaulo,ef 7o ano,0.428958051420839
463,colegiojoaopaulo,ef 8o ano,0.42592592592592593
464,colegiojoaopaulo,ef 9o ano,0.3822975517890772
465,colegiojoaopaulo,em 1a serie,0.6170575692963752
466,colegiojoaopaulo,em 2a serie,0.529275092936803
467,colegiojoaopaulo,em 3a serie,0.47875647668393784
468,colegioliceu,em 1a serie,0.12195121951219512
469,colegioliceu,em 2a serie,0.0
470,colegioliceu,em 3a serie,0.056910569105691054
471,colegiomagnum,em 1a serie,0.07094594594594594
472,colegiomagnum,em 2a serie,0.11202185792349727
473,colegiomagnum,em 3a serie,0.638733705772812
474,colegiomarilia,em 2a serie,0.0
475,colegiomarilia,outro,0.0
476,colegiomartinus,em 1a serie,0.0
477,colegiomodelo,em 1a serie,0.0
478,colegiomundial,ef 6o ano,0.48148148148148145
479,colegiomundial,ef 9o ano,0.4
480,colegiomundial,em 1a serie,0.2903225806451613
481,colegiomundial,em 2a serie,0.391304347826087
482,colegiomundial,em 3a serie,0.2608695652173913
483,colegionobre,ef 6o ano,0.0
484,colegionobre,em 1a serie,0.0
485,colegionovageracao,ef 2o ano,0.038461538461538464
486,colegionovageracao,ef 3o ano,0.05
487,colegionovageracao,ef 4o ano,0.3
488,colegionovageracao,ef 5o ano,0.4583333333333333
489,colegiopadreeustaquio,em 1a serie,0.0
490,colegiopassionista,ef 3o ano,0.0
491,colegiopassionista,ef 7o ano,0.0
492,colegiopassionista,ef 9o ano,0.0
493,colegiopassionista,em 1a serie,0.0
494,colegiopassionista,em 2a serie,0.0
495,colegiopassionista,em 3a serie,0.0
496,colegiopioxii,ef 6o ano,0.0
497,colegioplanck,ef 6o ano,0.6361161524500908
498,colegioplanck,ef 7o ano,0.6165113182423435
499,colegioplanck,ef 8o ano,0.5654676258992806
500,colegioplanck,ef 9o ano,0.725925925925926
501,colegioplanck,em 1a serie,0.4932330827067669
502,colegioplanck,em 2a serie,0.6092362344582594
503,colegioplanck,em 3a serie,0.3047858942065491
504,colegioplanck,outro,0.1
505,colegiopremium,ef 1o ano,0.1978021978021978
506,colegiopremium,ef 2o ano,0.0
507,colegiopremium,ef 3o ano,0.08928571428571429
508,colegiopremium,ef 4o ano,0.2638888888888889
509,colegiopremium,ef 5o ano,0.43125
510,colegiopremium,ef 6o ano,0.5952380952380952
511,colegiopremium,ef 7o ano,0.5
512,colegiopremium,ef 8o ano,0.5280898876404494
513,colegiopremium,ef 9o ano,0.6987951807228916
514,colegiopremium,em 1a serie,0.6875
515,colegiopremium,em 2a serie,0.640625
516,colegiopremium,em 3a serie,0.5555555555555556
517,colegioprogresso,em 1a serie,0.0
518,colegioradar,em 1a serie,0.0
519,colegioriobranco,em 1a serie,0.0
520,colegiosaberviver,em 1a serie,0.0
521,colegiosalesianorn,em 1a serie,0.0
522,colegiosantadoroteia,em 1a serie,0.0
523,colegiosantamaria,em 1a serie,0.0
524,colegiosaojudas,em 1a serie,0.0
525,colegiosaoluis,ef 1o ano,0.0
526,colegiosaoluis,em 1a serie,0.0
527,colegioser,ef 6o ano,0.0
528,colegioser,outro,0.0
