,namespace,grade,numero_ex
534,escolaceciliameireles,ef 2o ano,72.0
535,escolaceciliameireles,ef 3o ano,5.0
536,escolaceciliameireles,ef 4o ano,163.0
537,escolaceciliameireles,ef 5o ano,149.0
538,escolaceciliameireles,ef 6o ano,167.0
539,escolamaster,ef 8o ano,10.0
540,escolamaster,ef 9o ano,10.0
541,escolamaster,em 1a serie,250.33333333333334
542,escolamaster,em 2a serie,261.25
543,escolamaster,em 3a serie,257.6666666666667
544,estantemagica,outro,91.0
545,faculdadeflamingo,outro,39.0
546,francobrasileiro,em 3a serie,510.6666666666667
547,gerabixo,outro,98.0
548,idaam,em 3a serie,276.0
549,implantacao,outro,33.0
550,insa,em 1a serie,132.0
551,insa,em 2a serie,132.0
552,insa,em 3a serie,132.0
553,institutoauxiliadoradf,em 1a serie,201.0
554,institutoauxiliadoradf,em 2a serie,221.0
555,institutoauxiliadoradf,em 3a serie,241.0
556,institutocristao,ef 6o ano,228.0
557,institutocristao,ef 7o ano,149.0
558,institutocristao,ef 9o ano,131.0
559,institutocristao,em 2a serie,148.0
560,institutocristao,em 3a serie,110.0
561,institutoeurofarma,outro,31.0
562,institutosaojose,em 1a serie,201.0
563,institutosaojose,em 2a serie,221.0
564,institutosaojose,em 3a serie,241.0
565,integra,ef 1o ano,15.0
566,integra,ef 2o ano,24.0
567,integra,ef 3o ano,34.0
568,integra,ef 4o ano,42.0
569,integra,ef 5o ano,52.0
570,integra,ef 6o ano,63.0
571,integra,ef 7o ano,71.0
572,integra,ef 8o ano,85.0
573,integradaeducativa,ef 6o ano,30.214285714285715
574,integradaeducativa,ef 7o ano,26.375
575,integradaeducativa,ef 8o ano,30.8
576,integradaeducativa,ef 9o ano,29.4
577,integradaeducativa,em 1a serie,13.5
578,integradaeducativa,em 2a serie,13.647058823529411
579,integradaeducativa,em 3a serie,13.3125
580,invictus,ef 6o ano,144.0
581,invictus,ef 7o ano,167.0
582,invictus,ef 8o ano,209.0
583,invictus,ef 9o ano,191.0
584,invictus,em 1a serie,238.0
585,invictus,em 2a serie,217.0
586,invictus,em 3a serie,189.0
587,invictus,outro,30.0
588,iracemarufino,infantil iii,1.0
589,isem,ef 3o ano,22.0
590,isem,ef 4o ano,22.0
591,isem,ef 5o ano,21.0
592,isem,ef 6o ano,123.0
593,isem,ef 7o ano,86.0
594,isem,ef 8o ano,134.0
595,isem,ef 9o ano,125.0
596,itamarati,ef 8o ano,16.5
597,jazzvestibular,outro,60.0
598,joaobelem,ef 6o ano,11.0
599,joaobelem,ef 9o ano,9.0
600,lasalleaguasclaras,em 1a serie,201.0
601,lasalleaguasclaras,em 2a serie,221.0
602,lasalleaguasclaras,em 3a serie,241.0
603,liessinbarra,ef 8o ano,10.0
604,litteratus,em 3a serie,5.0
605,macvest,outro,195.0
606,magister,ef 3o ano,41.0
607,magister,ef 4o ano,51.333333333333336
608,magister,ef 5o ano,55.5
609,magister,outro,42.5
610,maplebearslz,ef 2o ano,4.0
611,maplebearslz,ef 3o ano,10.25
612,maplebearslz,ef 4o ano,33.09090909090909
613,maplebearslz,ef 5o ano,32.333333333333336
614,maplebearslz,ef 6o ano,91.25
615,maplebearslz,ef 7o ano,135.66666666666666
616,maplebearslz,ef 8o ano,114.0
617,maplebearslz,ef 9o ano,108.0
618,maplebearslz,em 1a serie,205.5
619,maplebearslz,em 2a serie,218.5
620,maplebearslz,outro,40.0
621,mariliamattoso,ef 5o ano,198.0
622,mariliamattoso,ef 6o ano,246.5
623,mariliamattoso,ef 7o ano,286.5
624,mariliamattoso,ef 8o ano,295.0
625,mariliamattoso,ef 9o ano,292.5
626,mariliamattoso,em 1a serie,886.0
627,mariliamattoso,em 2a serie,890.0
628,mariliamattoso,em 3a serie,967.0
629,master,ef 1o ano,38.57142857142857
630,master,ef 2o ano,177.29166666666666
631,master,ef 3o ano,153.95833333333334
632,master,ef 4o ano,177.0
633,master,ef 5o ano,195.5
634,master,ef 6o ano,135.96
635,master,ef 7o ano,127.54166666666667
636,master,ef 8o ano,139.75
637,master,ef 9o ano,202.0
638,master,em 1a serie,260.3888888888889
639,master,em 2a serie,234.7058823529412
