,namespace,user_id,id
17214,einsteinassis,einstein.nilsonmateus,537507
17215,colegiomotiva,prof.allyson,537512
17216,einsteinassis,einstein.paulaverderesi,537513
17217,einsteinassis,einstein.sidneiaraujo,537517
17218,cursoisfera,pedro.baf93,397402
17219,colegioalphaunis,mateus.alpha2021,564572
17220,colegioalphaunis,rafael.alpha2021,564573
17221,colegioalphaunis,roberto.alpha2021,564574
17222,colegioalphaunis,vanice.alpha2021,564575
17223,porto,sas1351153,521379
17224,cbpdigital,moniquemm32,537659
17225,physicsmacapa,mario.lobato,537663
17226,colegioanchietaii,sas1020483,537665
17227,villalobos,mariaferrazza,108771
17228,villalobos,brunomachadomedeiros,52719
17229,cem,camila.calegari,594258
17230,qescola,playpen,542062
17231,qescola,atmo,542063
17232,qescola,colegiosalesianorn,542064
17233,qescola,colegiosantadoroteia,542065
17234,physicscidadenova,patrick.ribeiro,537728
17235,colegiodasamericas,amandapreisig,476334
17236,colegiocognos,laradias,180658
17237,colegiocognos,robertasanalios,154834
17238,colegiocognos,thais.delnero,242487
17239,jardimsaopaulo,alfredo.jardimsp,537755
17240,playpen,sas.professor,542071
17241,jardimsaopaulo,patricia.jardimsp,537757
17242,jardimsaopaulo,anaelisa.jardimsp,537758
17243,atmo,sas.professor,542072
17244,colegiosalesianorn,sas.professor,542073
17245,colegiosantadoroteia,sas.professor,542074
17246,jardimsaopaulo,fatima.jardimsp,537754
17247,jardimsaopaulo,carolina.jardimsp,537760
17248,jardimsaopaulo,ricardo.jardimsp,537761
17249,dbosco,juan.vilhena,537775
17250,dbosco,gustavo.amorim,537780
17251,forumcultural,sas.professor,537786
17252,forumcultural,forumcultural,537803
17253,colegiouniverso,isadora.sena,537835
17254,villalobos,dimitrius,77056
17255,villalobos,angelovansan,227700
17256,colegiocognos,sas.professor,537917
17257,ipdhsolucoes,nataliatw89,537929
17258,escolamaster,sas1493935,505389
17259,brasilcursinhos,Victoria.marcondes,537951
17260,colegioup,prof85,537957
17261,adrianochan,evaldo.almeida,537971
