,namespace,user_id,id
6342,acessofazendariogrande,matriculadores.edimara.mayer,413834
6343,amais,matriculadores.gustavo.luiz,412841
6344,amais,matriculadores.helen.costa,412759
6345,overmarciliofurtado,matriculadores.eliana.vieira,413836
6346,amais,matriculadores.isabelle.pezarini,412792
6347,amais,matriculadores.jacqueline.marques,412793
6348,amais,matriculadores.jafisan.sara,412794
6349,principius,matriculadores.elisangela.justo,413838
6350,amais,matriculadores.jaqueline.santos,412795
6351,amais,matriculadores.juliana.kalif,412851
6352,overjoaopessoa,matriculadores.elizabete.silva,413839
6353,amais,matriculadores.juliana.ribeiro,412844
6354,amais,matriculadores.karla.furtado,412800
6355,portinari,matriculadores.emmanuelle.sant,413840
6356,amais,matriculadores.kedma.silva,412801
6357,stellamarisjuveve,matriculadores.geanine.zelindro,413841
6358,amais,matriculadores.keilla.tavares,412802
6359,amais,matriculadores.kelvin.lima,412803
6360,stellamarisjuveve,matriculadores.gisele.andrade,413842
6361,physicsalcindocacela,matriculadores.glauce.costa,413843
6362,acessosantafelicidade,matriculadores.gustavo.luiz,413844
6363,physicsalmirantebarroso,matriculadores.helen.costa,413845
6364,universitariolondrina,matriculadores.isabelle.pezarini,413846
6365,overnascimentodecastro,matriculadores.jafisan.sara,413848
6366,dominius,maryana.monika,412929
6367,universitariolondrina,matriculadores.josiane.lima,413850
6368,acessopinhais,matriculadores.josiely.ivanski,413851
6369,acessoalmirantetamandare,amanda.soares,412955
6370,acessosantafelicidade,amanda.soares,412956
6371,physicsalmirantebarroso,matriculadores.juliana.kalif,413852
6372,acessofazendariogrande,amanda.soares,412957
6373,acessocampolargo,amanda.soares,412958
6374,physicscidadenova,matriculadores.juliane.ramos,413854
6375,acessoboqueirao,amanda.soares,412959
6376,acessopinhais,amanda.soares,412961
6377,stellamarisaguaverde,amanda.soares,412962
6378,overabelcabral,matriculadores.jussara.marques,413855
6379,cursoenfase,matriculadores.kedma.silva,413857
6380,physicsbatistacampos,matriculadores.keilla.tavares,413858
6381,acessoboqueirao,matriculadores.kelvin.lima,413859
6382,overmarciliofurtado,matriculadores.klarice.suelle,413860
6383,overnascimentodecastro,matriculadores.larissa.vianna,413861
6384,pesenglish,pes.luiz.fernando,593542
6385,acessoalmirantetamandare,matriculadores.laura.cecilia,413862
6386,acessocampolardo,matriculadores.liliane.rodrigues,413863
6387,apogeubenfica,edgardutra,380925
6388,physicsumarizal,matriculadores.lorena.costa,413864
6389,physicsconselheirofurtado,matriculadores.lorena.neves,413865
6390,overnascimentodecastro,matriculadores.lorrany.christye,413866
6391,universitariolondrina,matriculadores.luana.chaves,413867
6392,physicsbatistacampos,matriculadores.luana.monteiro,413868
