,namespace,grade,gerados
225,colegiobatistaindependente,0,0.0
211,colegioalphaunis,em 1a serie,0.0
212,colegioalphaunis,em 2a serie,0.0
213,colegioalphaunis,em 3a serie,0.0
214,colegioanchietai,em 1a serie,0.0
215,colegioanchietai,em 2a serie,0.0
216,colegioanchietai,em 3a serie,0.0
217,colegioanchietaii,em 1a serie,0.0
218,colegioanchietaii,em 2a serie,0.0
219,colegioanchietaii,em 3a serie,0.0
220,colegioarena,0,0.0
221,colegioarena,em 1a serie,0.0
222,colegioarena,em 2a serie,0.0
223,colegioarena,em 3a serie,0.0
224,colegioarena,outro,0.0
226,colegiobatistaindependente,ef 5o ano,0.0
241,colegiobetelbrasileirosp,em 3a serie,0.0
227,colegiobatistaindependente,ef 6o ano,0.0
228,colegiobatistaindependente,ef 7o ano,0.0
229,colegiobatistaindependente,ef 8o ano,0.0
230,colegiobatistaindependente,ef 9o ano,0.0
231,colegiobatistaindependente,em 1a serie,0.0
232,colegiobatistaindependente,em 2a serie,0.0
233,colegiobatistaindependente,em 3a serie,0.0
234,colegiobatistaindependente,outro,0.0
235,colegiobetelbrasileirosp,ef 6o ano,0.0
236,colegiobetelbrasileirosp,ef 7o ano,0.0
237,colegiobetelbrasileirosp,ef 8o ano,0.0
238,colegiobetelbrasileirosp,ef 9o ano,0.0
239,colegiobetelbrasileirosp,em 1a serie,0.0
240,colegiobetelbrasileirosp,em 2a serie,0.0
141,cbpdigital,ef 7o ano,0.0
