,namespace,Semana,Porcentagem de visualização de relatórios de AA
491,ceespacolivre,26,0.34210526315789475
492,ceespacolivre,27,0.65
493,ceespacolivre,28,0.5833333333333334
494,ceespacolivre,30,0.0
495,ceespacolivre,31,0.0
496,ceespacolivre,32,0.46153846153846156
497,ceespacolivre,33,0.4166666666666667
498,ceespacolivre,34,0.6363636363636364
499,ceespacolivre,35,0.05
500,cem,23,0.8372844827586207
501,cem,24,0.8368794326241135
502,cem,25,0.75
503,cem,30,0.0
504,cem,31,0.7747747747747747
505,cem,32,0.8238434163701067
506,cem,33,0.7923169267707083
507,cem,34,0.49206349206349204
508,cem,35,0.2653061224489796
509,ceprimeiromundo,23,0.4645426515930113
510,ceprimeiromundo,24,0.19376026272577998
511,ceprimeiromundo,25,0.3671875
512,ceprimeiromundo,26,0.33980582524271846
513,ceprimeiromundo,27,0.6514851485148515
514,ceprimeiromundo,28,0.08267090620031796
515,ceprimeiromundo,29,0.12727272727272726
516,ceprimeiromundo,30,0.11206896551724138
517,ceprimeiromundo,31,0.30639097744360905
518,ceprimeiromundo,32,0.1043518951801591
519,ceprimeiromundo,33,0.1365392872477458
520,ceprimeiromundo,34,0.07013738250180766
521,ceprimeiromundo,35,0.025
522,cepseguro,23,0.0
523,cepseguro,24,0.0
524,cepseguro,25,0.0
525,cepseguro,26,0.0
526,cepseguro,27,0.0
527,cepseguro,28,0.0
528,cepseguro,31,0.0
529,cepseguro,32,0.0
530,cfc,23,0.0
531,cfc,24,0.0
532,cfc,25,0.0
533,cfc,27,0.0
534,cfc,28,0.0
535,cfc,29,0.0
536,cfc,30,0.0
537,cfc,32,0.0
538,cfc,33,0.0
539,cfc,34,0.0
540,cfc,35,0.0
541,cfimaculadaconceicao,23,0.0
542,cfimaculadaconceicao,24,0.0
543,cfimaculadaconceicao,25,0.0
544,cfimaculadaconceicao,26,0.0
545,cfimaculadaconceicao,27,0.0
546,cfimaculadaconceicao,28,0.0
547,cfimaculadaconceicao,29,0.0
548,cfimaculadaconceicao,30,0.0
549,cfimaculadaconceicao,32,0.0
550,cfimaculadaconceicao,33,0.0
551,cfimaculadaconceicao,34,0.0
552,cfimaculadaconceicao,35,0.0
553,charlesdarwin,23,0.0
554,charlesdarwin,24,0.0
555,charlesdarwin,25,0.0
556,charlesdarwin,27,0.0
557,charlesdarwin,28,0.0
558,charlesdarwin,29,0.0
559,charlesdarwin,30,0.0
560,charlesdarwin,32,0.0
561,charlesdarwin,33,0.0
562,charlesdarwin,34,0.0
563,charlesdarwin,35,0.0
