,namespace,Semana,Número de AAs por turma
376,colegioflamingo,26,1.2
377,colegioflamingo,32,1.6666666666666667
378,colegioflamingo,33,3.3333333333333335
379,colegioflamingo,34,3.8333333333333335
380,colegioflamingo,35,1.3333333333333333
381,colegiofuturageracao,23,2.75
382,colegiofuturageracao,24,2.8333333333333335
383,colegiofuturageracao,25,2.3333333333333335
384,colegiofuturageracao,26,1.0
385,colegiofuturageracao,31,2.6666666666666665
386,colegiofuturageracao,32,2.5714285714285716
387,colegiofuturageracao,33,2.0
388,colegiofuturageracao,34,1.75
389,colegiofuturageracao,35,2.25
390,colegioglobal,23,2.2142857142857144
391,colegioglobal,24,4.625
392,colegioglobal,25,1.6666666666666667
393,colegioglobal,26,3.0
394,colegioglobal,30,1.0
395,colegioglobal,32,2.5833333333333335
396,colegioglobal,33,2.9166666666666665
397,colegioglobal,34,2.0
398,colegioglobal,35,1.0
399,colegioguilhermedealmeida,31,0.2
400,colegioguilhermedealmeida,32,0.5
401,colegioguilhermedealmeida,33,0.5714285714285714
402,colegioguilhermedealmeida,34,0.6666666666666666
403,colegioguilhermedealmeida,35,1.3333333333333333
404,colegioiguatemy,23,1.3333333333333333
405,colegioiguatemy,24,0.5
406,colegioiguatemy,25,4.0
407,colegioiguatemy,26,7.0
408,colegioiguatemy,27,1.0
409,colegioiguatemy,30,0.8
410,colegioiguatemy,31,1.6428571428571428
411,colegioiguatemy,32,1.6666666666666667
412,colegioiguatemy,33,2.4615384615384617
413,colegioiguatemy,34,1.9166666666666667
414,colegioiguatemy,35,2.0
415,colegiointegral,23,1.3142857142857143
416,colegiointegral,24,1.0625
417,colegiointegral,26,0.3333333333333333
418,colegiointegral,27,1.8181818181818181
419,colegiointegral,28,2.1785714285714284
420,colegiointegral,29,1.8974358974358974
421,colegiointegral,30,1.6607142857142858
422,colegiointegral,31,1.5945945945945945
423,colegiointegral,32,2.4444444444444446
424,colegiointegral,33,1.3857142857142857
425,colegiointegral,34,2.35
426,colegiointegral,35,1.206896551724138
427,colegiojoaopaulo,23,2.0
428,colegiojoaopaulo,24,1.85
429,colegiojoaopaulo,25,1.6666666666666667
430,colegiojoaopaulo,26,2.0
431,colegiojoaopaulo,27,1.4761904761904763
432,colegiojoaopaulo,28,1.6428571428571428
433,colegiojoaopaulo,29,1.0
434,colegiojoaopaulo,30,1.0
435,colegiojoaopaulo,31,1.25
436,colegiojoaopaulo,32,1.95
437,colegiojoaopaulo,33,2.823529411764706
438,colegiojoaopaulo,34,0.5555555555555556
439,colegiojoaopaulo,35,2.5
440,colegioliceu,33,1.5
441,colegiomagnum,23,0.4
442,colegiomagnum,33,0.15384615384615385
443,colegiomagnum,34,0.15384615384615385
444,colegiomartinus,23,1.0
445,colegiomodelo,29,0.5
446,colegiomodelo,30,1.0
447,colegiomodelo,35,0.5
448,colegiomundial,28,0.5
449,colegiomundial,29,0.6666666666666666
450,colegionobre,30,1.0
451,colegionobre,34,0.5
452,colegionovageracao,35,1.0
453,colegionovopatio,23,0.6666666666666666
454,colegionovopatio,25,1.0
455,colegioplanck,23,1.1428571428571428
456,colegioplanck,24,0.7777777777777778
457,colegioplanck,25,0.75
458,colegioplanck,28,0.5
459,colegioplanck,29,0.5
460,colegioplanck,30,0.5
461,colegioplanck,31,1.0
462,colegioplanck,32,0.8571428571428571
463,colegioplanck,33,0.8292682926829268
464,colegioplanck,34,1.05
465,colegioplanck,35,2.6666666666666665
466,colegiopremium,23,1.0
467,colegiopremium,24,1.3333333333333333
468,colegiopremium,25,1.0
469,colegiopremium,26,2.2857142857142856
470,colegiopremium,31,1.5
471,colegiopremium,33,2.923076923076923
472,colegioprogresso,28,1.0
473,colegioradar,33,1.0
474,colegioriobranco,27,1.0
475,colegiosantamaria,33,1.0
476,colegiosantamaria,34,2.0
477,colegioser,26,1.5
478,colegioser,34,1.0
479,colegiosete,23,3.35
480,colegiosete,24,4.516129032258065
481,colegiosete,25,0.5
482,colegiosete,29,0.4444444444444444
483,colegiosete,30,0.5
484,colegiosete,31,0.8181818181818182
485,colegiosete,32,0.8181818181818182
486,colegiosete,33,0.9047619047619048
487,colegiosete,34,1.3529411764705883
488,colegiosete,35,0.5555555555555556
489,colegiouirapuru,23,1.7837837837837838
490,colegiouirapuru,24,1.606060606060606
491,colegiouirapuru,25,0.6666666666666666
492,colegiouirapuru,26,1.0
493,colegiouirapuru,29,0.2
494,colegiouirapuru,31,1.0
495,colegiouirapuru,32,0.7083333333333334
496,colegiouirapuru,33,1.125
497,colegiouirapuru,34,0.65
498,colegiouirapuru,35,1.0
499,colegiouniverso,23,2.0
500,colegiouniverso,24,1.7777777777777777
501,colegiouniverso,25,2.7777777777777777
502,colegiouniverso,26,1.0
503,colegiouniverso,32,0.6666666666666666
504,colegiouniverso,33,1.0
505,colegioup,23,0.8
506,colegioup,24,3.8666666666666667
507,colegioup,25,5.111111111111111
