,namespace,Semana,numero_ex
410,colegioiguatemy,31,30.0
835,oficinadoestudante,23,30.0
307,colegiobrasilia,32,29.976190476190474
99,acessosjpinhais,35,29.88235294117647
1055,profederal,34,29.875
583,cursosazambuja,25,29.844444444444445
112,aescobjetivo,26,29.5
759,magister,24,29.5
649,elitecuritibaemilianoperneta,32,29.5
310,colegiobrasilia,35,29.46153846153846
636,einsteinassis,24,29.428571428571427
55,acessohauer,23,29.25
421,colegiointegral,30,29.214285714285715
942,physicsbatistacampos,24,29.166666666666668
457,colegioplanck,25,29.166666666666668
393,colegioglobal,26,29.0
647,elitecuritibaemilianoperneta,30,29.0
515,conexaosaber,24,29.0
862,overlimaesilva,24,28.88888888888889
666,escoladeimpacto,28,28.666666666666668
349,colegioecursoprogressao,31,28.615384615384617
901,overpontanegra,26,28.58823529411765
426,colegiointegral,35,28.586206896551722
771,maplebearslz,32,28.416666666666668
713,integradaeducativa,23,28.4
346,colegioecursoprogressao,27,28.384615384615383
228,ceprimeiromundo,35,28.384615384615383
263,colegioarena,23,28.333333333333332
658,escolaceciliameireles,26,28.333333333333332
415,colegiointegral,23,28.314285714285713
584,cursosazambuja,26,28.272727272727273
787,mariliamattoso,35,28.25
396,colegioglobal,33,28.25
576,cursoisfera,33,28.142857142857142
253,colegioalphaunis,24,28.142857142857142
467,colegiopremium,24,28.083333333333332
824,objetivolorena,23,28.027027027027028
233,ciadosaber,25,27.833333333333332
122,amadeus,23,27.61111111111111
591,cursosazambuja,34,27.41025641025641
1206,stellamarisjuveve,33,27.25
1036,prismapatrocinio,26,27.2
772,maplebearslz,33,27.176470588235293
1091,provaspoliedro,34,27.07608695652174
431,colegiojoaopaulo,27,27.0
779,mariliamattoso,27,27.0
1088,provaspoliedro,31,26.970149253731343
797,master,33,26.92488262910798
97,acessosjpinhais,33,26.838709677419356
1217,stellamarisxaxim,33,26.833333333333332
395,colegioglobal,32,26.666666666666668
269,colegioarena,34,26.666666666666668
868,overlimaesilva,34,26.666666666666668
712,integra,34,26.555555555555557
439,colegiojoaopaulo,35,26.5
1045,profederal,23,26.25
267,colegioarena,32,26.25
1072,progressaoig,26,26.2
390,colegioglobal,23,26.071428571428573
711,integra,25,26.0
983,plannetaosasco,27,26.0
984,plannetataboao,28,26.0
1056,profederal,35,26.0
361,colegioeducallis,35,25.970588235294116
