,namespace,Semana,Porcentagem de engajamento em AAs
326,colegiodasamericas,26,0.6638655462184874
27,acessocampolargo,26,0.6631626642501133
703,institutoeurofarma,32,0.6616915422885572
200,ceespacolivre,26,0.6611111111111111
649,elitecuritibaemilianoperneta,33,0.6608695652173913
636,einsteinassis,25,0.658433734939759
713,integradaeducativa,26,0.6561987344738692
263,colegioarena,24,0.6555959963603276
946,physicscidadenova,34,0.6510721247563352
375,colegioflamingo,26,0.6492103075644223
1197,stellamarisxaxim,23,0.6487368830159347
1243,villalobos,33,0.6476654253795474
166,casdinhosjc,27,0.6470588235294118
262,colegioarena,23,0.6444159178433889
781,mariliamattoso,32,0.6431468961278427
57,acessohauer,25,0.6428571428571429
667,escolamaster,23,0.6423841059602649
331,colegiodasamericas,34,0.640625
561,cursoenfase,24,0.64
129,amadeus,34,0.6394569632998854
787,master,25,0.6350651432873484
102,adrianochan,25,0.6346604215456675
1092,psantagema,34,0.6258503401360545
605,eacorcovado,23,0.6253590480098482
1017,porto,33,0.6250457133901051
1205,stellamarisxaxim,33,0.6244289754187513
740,isem,31,0.6223506743737958
798,minhalista,25,0.6166666666666667
15,acessoboqueirao,27,0.6165948908681609
606,eacorcovado,24,0.6160714285714286
539,crb,26,0.6072231776690038
1236,villalobos,24,0.6068066618392469
215,ceprimeiromundo,23,0.6054580501166683
642,elitecuritibaemilianoperneta,25,0.6032608695652174
1225,universobarcarena,24,0.6022903583302549
1242,villalobos,32,0.6008215752813002
930,physicsaugustomontenegro,24,0.5985533453887885
772,mariliamattoso,23,0.5978013314646111
88,acessosjpinhais,24,0.5974973931178311
786,master,24,0.5968427334044593
1036,prismapatrocinio,34,0.5938871522844242
1212,universitariolondrina,24,0.5912803514503672
942,physicscidadenova,24,0.5904365904365905
1112,sagradafamilia,34,0.5899257345818534
252,colegioalphaunis,24,0.5895841430237078
462,colegioplanck,33,0.5885545610359931
734,isem,24,0.5876543209876544
1226,universobarcarena,25,0.5875132150828145
507,colegioup,26,0.5858050317611164
254,colegioalphaunis,26,0.5834284627092846
1107,rede,35,0.5833333333333334
248,cnslpb,33,0.5833333333333334
766,maplebearslz,30,0.5830618892508144
337,colegioeag,34,0.5824175824175825
109,aescobjetivo,23,0.5819021724051827
103,adrianochan,26,0.5813084112149532
644,elitecuritibaemilianoperneta,27,0.5797101449275363
1117,santamariacn,26,0.5792349726775956
335,colegioeag,30,0.5789473684210527
1221,universitariolondrina,33,0.5787563534500224
1237,villalobos,25,0.575353871773522
96,acessosjpinhais,32,0.575216053903618
429,colegiojoaopaulo,26,0.5743630573248407
650,elitecuritibaemilianoperneta,34,0.5683012259194395
1094,qescola,23,0.5660073260073261
26,acessocampolargo,25,0.5651492902594224
969,pioxi,35,0.5639097744360902
601,dommga,25,0.5628277335404933
1074,provaspoliedro,23,0.5610118164004513
1013,porto,27,0.5588235294117647
780,mariliamattoso,31,0.5582706766917294
810,novotempo,33,0.5576923076923077
494,colegiouirapuru,32,0.5566239316239316
659,escolaceciliameireles,28,0.5555555555555556
845,overabelcabral,34,0.554993716713542
168,casdinhosjc,33,0.5529411764705883
1055,progressaodc,28,0.5514705882352942
8,acessoalmirantetamandare,33,0.5510679611650485
1115,santadoroteia,34,0.5510670731707317
896,overpontanegra,28,0.5489690721649485
1122,santamariacn,31,0.5488771466314399
957,physicsmacapa,34,0.5476190476190477
1219,universitariolondrina,31,0.5446651599857262
1222,universitariolondrina,34,0.5446070294748038
997,portinari,23,0.5445170016272534
97,acessosjpinhais,33,0.5435751791552459
461,colegioplanck,32,0.5420131918554632
1012,porto,26,0.5419442556084296
4,acessoalmirantetamandare,27,0.5400755897302228
604,domus,34,0.5392156862745098
1033,prismapatrocinio,31,0.5385852090032154
84,acessosantafelicidade,33,0.537262451869333
764,maplebearslz,25,0.535552536231884
232,ciadosaber,25,0.534446764091858
836,overabelcabral,25,0.5311685914135095
246,cnslpb,31,0.5284816980723414
118,aescobjetivo,33,0.5269204865100432
585,cursosazambuja,28,0.5263157894736842
165,casdinhosjc,25,0.525231719876416
1180,stellamarisaguaverde,24,0.52375
937,physicsbatistacampos,25,0.5232856618995233
435,colegiojoaopaulo,32,0.5228634185303515
52,acessofazendariogrande,33,0.5227092580849715
1244,villalobos,34,0.5219512195121951
21,acessoboqueirao,33,0.5209974636949252
704,institutosaojose,33,0.5203985711599924
1102,qescola,31,0.5193465176268272
29,acessocampolargo,30,0.5193065405831363
743,itamarati,34,0.5176470588235295
459,colegioplanck,30,0.5174275895925381
157,brasilcursinhos,28,0.5168253968253969
253,colegioalphaunis,25,0.516522071957132
537,crb,24,0.5165203786693537
748,lasalleaguasclaras,34,0.516425176770604
835,overabelcabral,24,0.5144030653030846
313,colegiocb,26,0.5140562248995983
167,casdinhosjc,31,0.5137254901960784
32,acessocampolargo,33,0.5135168497716331
811,novotempo,34,0.5128205128205128
1019,porto,35,0.5121824104234528
532,contemporaneolagoanova,33,0.5100272585669782
3,acessoalmirantetamandare,26,0.5076342425802024
950,physicsconselheirofurtado,31,0.5074074074074074
696,institutoauxiliadoradf,34,0.5064233848445354
751,macvest,23,0.5061728395061729
1007,portinari,34,0.5055612736146619
947,physicsconselheirofurtado,23,0.5052257060262397
739,isem,30,0.5049975421923644
140,apogeustoantonio2,24,0.5049460431654677
951,physicsconselheirofurtado,32,0.5037037037037037
1006,portinari,33,0.5019840596913685
90,acessosjpinhais,26,0.5003847929813761
1152,seletivoeducallis,32,0.5
1022,positivoon,28,0.5
135,amaisteste,28,0.5
117,aescobjetivo,32,0.4999780480309084
1031,prismapatrocinio,28,0.49954716004657784
68,acessopinhais,26,0.4959770114942529
1080,provaspoliedro,30,0.49380033752033714
79,acessosantafelicidade,26,0.4933816710226794
954,physicsmacapa,23,0.4925759204514915
47,acessofazendariogrande,26,0.4911349731552004
1157,simuladoita,26,0.48948933374822806
430,colegiojoaopaulo,27,0.4893555394641564
80,acessosantafelicidade,27,0.4880109457841628
672,escolamaster,33,0.4880016234589823
834,overabelcabral,23,0.4875537558464388
73,acessopinhais,33,0.48173746909417847
1179,stellamarisaguaverde,23,0.4803532008830022
875,overmarciliofurtado,34,0.4799176107106076
1137,santoamerico,34,0.4791111111111111
428,colegiojoaopaulo,25,0.4783583483838824
2,acessoalmirantetamandare,25,0.47632752914088355
139,apogeustoantonio2,23,0.4755170029543026
89,acessosjpinhais,25,0.474185887634601
1215,universitariolondrina,27,0.47356602584305074
782,mariliamattoso,33,0.4727864529685633
943,physicscidadenova,25,0.4724019559419145
756,magister,24,0.472
593,deltaeducacional,23,0.47088556409219573
837,overabelcabral,26,0.47069460695670673
1186,stellamarisjuveve,23,0.4697805129664544
184,cbpdigital,25,0.4690909090909091
874,overmarciliofurtado,33,0.4689205037988884
514,conexaosaber,24,0.46773690773067333
1037,prismapatrocinio,35,0.4675324675324675
749,liessinbarra,25,0.4642857142857143
13,acessoboqueirao,25,0.46330418864561507
460,colegioplanck,31,0.4632390745501285
515,conexaosaber,25,0.46273723190865607
87,acessosjpinhais,23,0.45914011282207656
352,colegioecursoprogressao,35,0.45799011532125206
794,master,33,0.4564331825870819
266,colegioarena,32,0.45609504132231404
497,colegiouirapuru,35,0.45454545454545453
108,adrianochan,35,0.453382084095064
123,amadeus,24,0.45330915684496825
14,acessoboqueirao,26,0.45290515893694633
1136,santoamerico,33,0.4525862068965517
934,physicsaugustomontenegro,34,0.45126353790613716
864,overmarciliofurtado,23,0.4509037616023449
595,deltaeducacional,25,0.4508130081300813
1206,stellamarisxaxim,34,0.45076117982873454
67,acessopinhais,25,0.4504895767530006
904,overzonanorte,24,0.4500032486518095
1214,universitariolondrina,26,0.44895935693481703
844,overabelcabral,33,0.448541415288523
1079,provaspoliedro,28,0.4455299539170507
1198,stellamarisxaxim,24,0.4448508545122028
